Id,Nome,R,Sq,QtA,FVM,n_stagioni,trend,deltaFM_recente,PV_medie,FM_23_24,FM_24_25,FM_25_26,tier_23_24,tier_24_25,tier_25_26
6815,Fadera,C,Sassuolo,8,10,2,stabile,-0.08,24,,6.23,6.15,,C,C
2839,Sottil,C,Lecce,8,9,3,calante,-0.02,20.7,6.37,6.09,6.07,C,D,C
4349,Nicolussi Caviglia,C,Parma,8,15,3,calante,-0.46,21.3,6.08,6.44,5.98,,B,D
6424,Prati,C,Torino,7,11,3,stabile,0.03,22.7,5.92,5.8,5.83,D,D,D
6640,Felici,C,Cagliari,7,7,2,crescente,0.5,15,,6.0,6.5,,D,B
5813,Miretti,C,Juventus,7,12,3,altalenante,-0.06,20.3,5.9,6.28,6.22,D,C,C
6015,Berisha M.,C,Lecce,7,9,2,crescente,1.13,13.5,,5.87,7.0,,D,A
6549,Pierotti,C,Lecce,7,13,3,calante,-0.32,26.3,6.29,6.1,5.78,,D,D
5131,Gilmour,C,Napoli,7,12,2,crescente,0.31,15.5,,5.94,6.25,,D,C
6170,Gineitis,C,Torino,7,9,3,altalenante,-0.4,22.7,5.95,6.17,5.77,D,C,D
7028,Bernede,C,Verona,7,11,2,crescente,0.26,21.5,,5.79,6.05,,D,C
4479,Elmas,C,Napoli,7,13,3,calante,-1.17,17.7,6.33,7.15,5.98,,A,D
801,Gagliardini,C,Verona,7,12,3,stabile,-0.17,22.7,6.0,5.58,5.83,D,,D
6024,Sulemana I.,C,Cagliari,6,10,3,calante,-0.3,14.7,6.08,7.17,5.78,C,,D
5784,Aebischer,C,Pisa,6,12,3,stabile,0.12,26.7,5.89,5.69,5.81,D,D,D
6206,Fabbian,C,Fiorentina,6,9,3,calante,-0.36,22,6.91,6.36,6.0,B,C,D
1871,Deiola,C,Cagliari,6,11,3,altalenante,-0.06,22.3,5.61,6.08,6.02,D,D,D
6629,Dele-Bashiru,C,Lazio,6,14,2,calante,-0.73,19,,6.59,5.86,,B,D
5998,Zerbin,C,Cremonese,6,9,3,stabile,-0.2,21.3,5.81,6.0,5.8,D,D,D
6246,Lipani,C,Sassuolo,6,8,2,dato singolo,,14.5,5.93,,5.89,,,D
6458,Serdar,C,Verona,6,10,3,stabile,-0.04,20.7,5.85,6.12,6.08,D,C,C
5858,Ferguson,C,Bologna,5,12,3,calante,-0.69,22.7,6.98,6.54,5.85,A,B,D
27,Grassi,C,Cremonese,5,8,3,stabile,-0.09,27.3,5.75,5.79,5.7,D,D,D
6917,Masini,C,Genoa,5,7,2,calante,-0.25,20,,6.11,5.86,,C,D
5457,Maleh,C,Cremonese,5,5,3,stabile,0.01,25.7,5.66,5.7,5.71,D,D,D
5992,Bondo,C,Cremonese,5,12,3,stabile,-0.03,24.7,5.86,5.7,5.67,D,D,D
5295,Musah,C,Atalanta,5,11,3,altalenante,0.49,22.7,5.81,5.6,6.09,D,D,C
5290,Estevez,C,Parma,5,8,2,stabile,0.06,18,,5.79,5.85,,D,D
6481,Payero,C,Cremonese,5,8,3,calante,-0.24,26,6.02,6.0,5.76,D,D,D
5286,Akpa Akpro,C,Verona,5,10,3,altalenante,0.32,16.7,5.57,5.5,5.82,D,D,D
2848,Frattesi,C,Inter,4,10,3,calante,-0.83,22.3,7.04,6.73,5.9,A,B,D
