Id,Nome,Sq,PV,MV,FM,Gf,Gs,RigSegnati,RigTirati,RigParati,Assist,Amm,Esp
6569,Stolz,GEN,0,0.0,0.0,0,0,0,0,0,0,0,0
7015,Pedrola,BOL,0,0.0,0.0,0,0,0,0,0,0,0,0
7011,Slotsager,VER,0,0.0,0.0,0,0,0,0,0,0,0,0
7025,Cuenca H.,GEN,0,0.0,0.0,0,0,0,0,0,0,0,0
7026,Salama,TOR,0,0.0,0.0,0,0,0,0,0,0,0,0
7027,Azon,COM,0,0.0,0.0,0,0,0,0,0,0,0,0
7031,Scott,LEC,0,0.0,0.0,0,0,0,0,0,0,0,0
7042,Calligaris,INT,0,0.0,0.0,0,0,0,0,0,0,0,0
7045,Luan Patrick,VER,0,0.0,0.0,0,0,0,0,0,0,0,0
7048,De Marzi,ROM,0,0.0,0.0,0,0,0,0,0,0,0,0
